,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,41.0,15.0,820nm,50694,20240618_061824_maize_HC69_4_DA,0,0.041,rice,HC69_4_DA.json,0,-2.298799827025776,0.048186953717020656
1,4,4,p700_reference,46.0,20.0,820nm,50699,20240618_061824_maize_HC69_4_DA,0,0.046,rice,HC69_4_DA.json,0,-2.2990265599554154,0.03980682658387132
2,5,5,p700_reference,51.0,25.0,820nm,50703,20240618_061824_maize_HC69_4_DA,0,0.051,rice,HC69_4_DA.json,0,-2.299207946299127,0.033102724877342005
3,6,6,p700_reference,56.0,30.0,820nm,50703,20240618_061824_maize_HC69_4_DA,0,0.056,rice,HC69_4_DA.json,0,-2.299207946299127,0.033102724877342005
4,7,7,p700_reference,61.0,35.0,820nm,50705,20240618_061824_maize_HC69_4_DA,0,0.061,rice,HC69_4_DA.json,0,-2.2992986394709827,0.029750674024085554
5,8,8,p700_reference,66.0,40.0,820nm,50703,20240618_061824_maize_HC69_4_DA,0,0.066,rice,HC69_4_DA.json,0,-2.299207946299127,0.033102724877342005
6,9,9,p700_reference,71.0,45.0,820nm,50715,20240618_061824_maize_HC69_4_DA,0,0.071,rice,HC69_4_DA.json,0,-2.2997521053302608,0.012990419757803302
7,10,10,p700_reference,76.0,50.0,820nm,50715,20240618_061824_maize_HC69_4_DA,0,0.076,rice,HC69_4_DA.json,0,-2.2997521053302608,0.012990419757803302
8,11,11,p700_reference,81.0,55.0,820nm,50710,20240618_061824_maize_HC69_4_DA,0,0.081,rice,HC69_4_DA.json,0,-2.299525372400622,0.02137054689093622
9,12,12,p700_reference,86.0,60.0,820nm,50707,20240618_061824_maize_HC69_4_DA,0,0.086,rice,HC69_4_DA.json,0,-2.2993893326428383,0.026398623170829104
10,13,13,p700_reference,91.0,65.0,820nm,50715,20240618_061824_maize_HC69_4_DA,0,0.091,rice,HC69_4_DA.json,0,-2.2997521053302608,0.012990419757803302
11,14,14,p700_reference,96.0,70.0,820nm,50710,20240618_061824_maize_HC69_4_DA,0,0.096,rice,HC69_4_DA.json,0,-2.299525372400622,0.02137054689093622
12,15,15,p700_reference,101.0,75.0,820nm,50715,20240618_061824_maize_HC69_4_DA,0,0.101,rice,HC69_4_DA.json,0,-2.2997521053302608,0.012990419757803302
13,16,16,p700_reference,106.0,80.0,820nm,50714,20240618_061824_maize_HC69_4_DA,0,0.106,rice,HC69_4_DA.json,0,-2.299706758744333,0.01466644518442332
14,17,17,p700_reference,111.0,85.0,820nm,50710,20240618_061824_maize_HC69_4_DA,0,0.111,rice,HC69_4_DA.json,0,-2.299525372400622,0.02137054689093622
15,18,18,p700_reference,116.0,90.0,820nm,50707,20240618_061824_maize_HC69_4_DA,0,0.116,rice,HC69_4_DA.json,0,-2.2993893326428383,0.026398623170829104
16,19,19,p700_reference,121.0,95.0,820nm,50709,20240618_061824_maize_HC69_4_DA,0,0.121,rice,HC69_4_DA.json,0,-2.299480025814694,0.023046572317572653
17,20,20,p700_reference,126.0,100.0,820nm,50718,20240618_061824_maize_HC69_4_DA,0,0.126,rice,HC69_4_DA.json,0,-2.2998881450880444,0.00796234347791042
18,21,21,p700_reference,131.0,105.0,820nm,50719,20240618_061824_maize_HC69_4_DA,0,0.131,rice,HC69_4_DA.json,0,-2.299933491673972,0.006286318051290401
19,22,22,p700_reference,136.0,110.0,820nm,50711,20240618_061824_maize_HC69_4_DA,0,0.136,rice,HC69_4_DA.json,0,-2.299570718986549,0.019694521464332617
20,23,23,p700_reference,141.0,115.0,820nm,50715,20240618_061824_maize_HC69_4_DA,0,0.141,rice,HC69_4_DA.json,0,-2.2997521053302608,0.012990419757803302
21,24,24,p700_reference,146.0,120.0,820nm,50703,20240618_061824_maize_HC69_4_DA,0,0.146,rice,HC69_4_DA.json,0,-2.299207946299127,0.033102724877342005
22,25,25,p700_reference,151.0,125.0,820nm,50705,20240618_061824_maize_HC69_4_DA,0,0.151,rice,HC69_4_DA.json,0,-2.2992986394709827,0.029750674024085554
23,26,26,p700_reference,156.0,130.0,820nm,50715,20240618_061824_maize_HC69_4_DA,0,0.156,rice,HC69_4_DA.json,0,-2.2997521053302608,0.012990419757803302
24,27,27,p700_reference,161.0,135.0,820nm,50722,20240618_061824_maize_HC69_4_DA,0,0.161,rice,HC69_4_DA.json,0,-2.300069531431756,0.0012582417713811046
25,28,28,p700_reference,166.0,140.0,820nm,50711,20240618_061824_maize_HC69_4_DA,0,0.166,rice,HC69_4_DA.json,0,-2.299570718986549,0.019694521464332617
26,29,29,p700_reference,171.0,145.0,820nm,50713,20240618_061824_maize_HC69_4_DA,0,0.171,rice,HC69_4_DA.json,0,-2.299661412158405,0.016342470611059753
27,30,30,p700_reference,176.0,150.0,820nm,50721,20240618_061824_maize_HC69_4_DA,0,0.176,rice,HC69_4_DA.json,0,-2.300024184845828,0.0029342671980175368
28,31,31,p700_reference,181.0,155.0,820nm,50709,20240618_061824_maize_HC69_4_DA,0,0.181,rice,HC69_4_DA.json,0,-2.299480025814694,0.023046572317572653
29,32,32,p700_reference,186.0,160.0,820nm,50704,20240618_061824_maize_HC69_4_DA,0,0.186,rice,HC69_4_DA.json,0,-2.299253292885054,0.0314266994507384
30,33,33,p700_reference,191.0,165.0,820nm,50707,20240618_061824_maize_HC69_4_DA,0,0.191,rice,HC69_4_DA.json,0,-2.2993893326428383,0.026398623170829104
31,34,34,p700_reference,196.0,170.0,820nm,50705,20240618_061824_maize_HC69_4_DA,0,0.196,rice,HC69_4_DA.json,0,-2.2992986394709827,0.029750674024085554
32,35,35,p700_reference,201.0,175.0,820nm,50723,20240618_061824_maize_HC69_4_DA,0,0.201,rice,HC69_4_DA.json,0,-2.300114878017684,-0.00041778365525532745
33,36,36,p700_reference,206.0,180.0,820nm,50720,20240618_061824_maize_HC69_4_DA,0,0.206,rice,HC69_4_DA.json,0,-2.2999788382599,0.0046102926246539685
34,37,37,p700_reference,211.0,185.0,820nm,50716,20240618_061824_maize_HC69_4_DA,0,0.211,rice,HC69_4_DA.json,0,-2.299797451916189,0.01131439433116687
35,38,38,p700_reference,216.0,190.0,820nm,50707,20240618_061824_maize_HC69_4_DA,0,0.216,rice,HC69_4_DA.json,0,-2.2993893326428383,0.026398623170829104
36,39,39,p700_reference,221.0,195.0,820nm,50723,20240618_061824_maize_HC69_4_DA,0,0.221,rice,HC69_4_DA.json,0,-2.300114878017684,-0.00041778365525532745
37,40,40,p700_reference,226.0,200.0,820nm,50705,20240618_061824_maize_HC69_4_DA,0,0.226,rice,HC69_4_DA.json,0,-2.2992986394709827,0.029750674024085554
38,41,41,p700_reference,231.0,205.0,820nm,50702,20240618_061824_maize_HC69_4_DA,0,0.231,rice,HC69_4_DA.json,0,-2.299162599713199,0.03477875030397844
39,42,42,p700_reference,236.0,210.0,820nm,50703,20240618_061824_maize_HC69_4_DA,0,0.236,rice,HC69_4_DA.json,0,-2.299207946299127,0.033102724877342005
