,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,42.0,15.0,820nm,50130,20240618_061824_maize_4191_1_DA,0,0.042,rice,4191_1_DA.json,0,-2.298737444558012,0.04660935802192358
1,4,4,p700_reference,47.0,20.0,820nm,50147,20240618_061824_maize_4191_1_DA,0,0.047,rice,4191_1_DA.json,0,-2.299516988474978,0.016459806873731025
2,5,5,p700_reference,52.0,25.0,820nm,50159,20240618_061824_maize_4191_1_DA,0,0.052,rice,4191_1_DA.json,0,-2.300067254769307,-0.004822229230878512
3,6,6,p700_reference,57.0,30.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.057,rice,4191_1_DA.json,0,-2.299700410573088,0.009365794838844005
4,7,7,p700_reference,62.0,35.0,820nm,50140,20240618_061824_maize_4191_1_DA,0,0.062,rice,4191_1_DA.json,0,-2.299195999803286,0.02887432793475755
5,8,8,p700_reference,67.0,40.0,820nm,50142,20240618_061824_maize_4191_1_DA,0,0.067,rice,4191_1_DA.json,0,-2.299287710852341,0.02532732191731404
6,9,9,p700_reference,72.0,45.0,820nm,50167,20240618_061824_maize_4191_1_DA,0,0.072,rice,4191_1_DA.json,0,-2.3004340989655256,-0.01901025330060103
7,10,10,p700_reference,77.0,50.0,820nm,50150,20240618_061824_maize_4191_1_DA,0,0.077,rice,4191_1_DA.json,0,-2.2996545550485603,0.011139297847574347
8,11,11,p700_reference,82.0,55.0,820nm,50153,20240618_061824_maize_4191_1_DA,0,0.082,rice,4191_1_DA.json,0,-2.299792121622142,0.005818788821434845
9,12,12,p700_reference,87.0,60.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.087,rice,4191_1_DA.json,0,-2.299700410573088,0.009365794838844005
10,13,13,p700_reference,92.0,65.0,820nm,50155,20240618_061824_maize_4191_1_DA,0,0.092,rice,4191_1_DA.json,0,-2.299883832671197,0.002271782804008509
11,14,14,p700_reference,97.0,70.0,820nm,50163,20240618_061824_maize_4191_1_DA,0,0.097,rice,4191_1_DA.json,0,-2.300250676867416,-0.011916241265731183
12,15,15,p700_reference,102.0,75.0,820nm,50156,20240618_061824_maize_4191_1_DA,0,0.102,rice,4191_1_DA.json,0,-2.2999296881957245,0.0004982797952781658
13,16,16,p700_reference,107.0,80.0,820nm,50171,20240618_061824_maize_4191_1_DA,0,0.107,rice,4191_1_DA.json,0,-2.3006175210636357,-0.026104265335488052
14,17,17,p700_reference,112.0,85.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.112,rice,4191_1_DA.json,0,-2.299700410573088,0.009365794838844005
15,18,18,p700_reference,117.0,90.0,820nm,50153,20240618_061824_maize_4191_1_DA,0,0.117,rice,4191_1_DA.json,0,-2.299792121622142,0.005818788821434845
16,19,19,p700_reference,122.0,95.0,820nm,50154,20240618_061824_maize_4191_1_DA,0,0.122,rice,4191_1_DA.json,0,-2.299837977146669,0.004045285812738852
17,20,20,p700_reference,127.0,100.0,820nm,50161,20240618_061824_maize_4191_1_DA,0,0.127,rice,4191_1_DA.json,0,-2.300158965818361,-0.008369235248287673
18,21,21,p700_reference,132.0,105.0,820nm,50154,20240618_061824_maize_4191_1_DA,0,0.132,rice,4191_1_DA.json,0,-2.299837977146669,0.004045285812738852
19,22,22,p700_reference,137.0,110.0,820nm,50134,20240618_061824_maize_4191_1_DA,0,0.137,rice,4191_1_DA.json,0,-2.298920866656122,0.03951534598705373
20,23,23,p700_reference,142.0,115.0,820nm,50147,20240618_061824_maize_4191_1_DA,0,0.142,rice,4191_1_DA.json,0,-2.299516988474978,0.016459806873731025
21,24,24,p700_reference,147.0,120.0,820nm,50147,20240618_061824_maize_4191_1_DA,0,0.147,rice,4191_1_DA.json,0,-2.299516988474978,0.016459806873731025
22,25,25,p700_reference,152.0,125.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.152,rice,4191_1_DA.json,0,-2.299700410573088,0.009365794838844005
23,26,26,p700_reference,157.0,130.0,820nm,50157,20240618_061824_maize_4191_1_DA,0,0.157,rice,4191_1_DA.json,0,-2.299975543720252,-0.001275223213435002
24,27,27,p700_reference,162.0,135.0,820nm,50158,20240618_061824_maize_4191_1_DA,0,0.162,rice,4191_1_DA.json,0,-2.300021399244779,-0.0030487262221481695
25,28,28,p700_reference,167.0,140.0,820nm,50163,20240618_061824_maize_4191_1_DA,0,0.167,rice,4191_1_DA.json,0,-2.300250676867416,-0.011916241265731183
26,29,29,p700_reference,172.0,145.0,820nm,50159,20240618_061824_maize_4191_1_DA,0,0.172,rice,4191_1_DA.json,0,-2.300067254769307,-0.004822229230878512
27,30,30,p700_reference,177.0,150.0,820nm,50161,20240618_061824_maize_4191_1_DA,0,0.177,rice,4191_1_DA.json,0,-2.300158965818361,-0.008369235248287673
28,31,31,p700_reference,182.0,155.0,820nm,50159,20240618_061824_maize_4191_1_DA,0,0.182,rice,4191_1_DA.json,0,-2.300067254769307,-0.004822229230878512
29,32,32,p700_reference,187.0,160.0,820nm,50159,20240618_061824_maize_4191_1_DA,0,0.187,rice,4191_1_DA.json,0,-2.300067254769307,-0.004822229230878512
30,33,33,p700_reference,192.0,165.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.192,rice,4191_1_DA.json,0,-2.299700410573088,0.009365794838844005
31,34,34,p700_reference,197.0,170.0,820nm,50155,20240618_061824_maize_4191_1_DA,0,0.197,rice,4191_1_DA.json,0,-2.299883832671197,0.002271782804008509
32,35,35,p700_reference,202.0,175.0,820nm,50154,20240618_061824_maize_4191_1_DA,0,0.202,rice,4191_1_DA.json,0,-2.299837977146669,0.004045285812738852
33,36,36,p700_reference,207.0,180.0,820nm,50147,20240618_061824_maize_4191_1_DA,0,0.207,rice,4191_1_DA.json,0,-2.299516988474978,0.016459806873731025
34,37,37,p700_reference,212.0,185.0,820nm,50157,20240618_061824_maize_4191_1_DA,0,0.212,rice,4191_1_DA.json,0,-2.299975543720252,-0.001275223213435002
35,38,38,p700_reference,217.0,190.0,820nm,50161,20240618_061824_maize_4191_1_DA,0,0.217,rice,4191_1_DA.json,0,-2.300158965818361,-0.008369235248287673
36,39,39,p700_reference,222.0,195.0,820nm,50153,20240618_061824_maize_4191_1_DA,0,0.222,rice,4191_1_DA.json,0,-2.299792121622142,0.005818788821434845
